100 47
17 10 183
33 23 40
36 13 14
44 26 14
45 11 271
45 12 52
45 36 61
46 33 8
48 45 17
50 34 558
52 4 66
53 1 114
53 36 130
55 4 133
55 42 46
59 42 51
59 49 5
60 27 10
60 28 137
61 0 81
62 26 245
64 10 5
64 42 90
65 1 5
66 48 82
68 11 152
68 27 16
68 58 88
71 31 43
72 68 81
73 37 58
74 66 50
77 2 311
81 14 305
82 10 67
82 40 66
83 49 10
83 74 27
85 65 125
85 73 352
88 86 70
89 2 197
91 71 50
94 76 90
96 7 327
97 65 32
98 9 295
1000
41 40 ?
76 94 -1
10 62 ?
0 10 11
89 0 25
91 94 ?
7 96 -1
75 24 109
56 59 ?
47 40 ?
4 50 368
40 52 ?
6 26 63
81 40 79
87 49 ?
57 99 132
42 51 5
62 86 ?
73 24 32
48 95 ?
50 34 -1
72 47 86
40 12 7
6 52 86
63 17 11
94 5 212
44 56 64
70 66 ?
74 54 157
31 11 ?
77 43 162
28 39 ?
96 17 33
14 22 20
59 49 -1
71 34 52
65 85 -1
32 74 319
83 74 -1
53 91 77
78 94 77
86 19 109
91 66 ?
13 15 71
21 42 182
27 39 16
52 18 222
53 1 -1
49 65 25
17 87 125
75 17 59
68 27 -1
48 27 ?
29 49 195
99 30 ?
53 10 ?
89 20 ?
54 32 99
1 34 121
49 21 ?
0 78 97
24 55 39
11 25 11
17 4 264
99 19 9
62 57 31
90 67 5
43 71 161
53 6 227
81 64 398
18 99 78
14 6 126
14 42 15
34 60 ?
41 57 90
60 7 138
3 52 83
87 36 90
86 11 ?
25 71 211
87 83 280
6 67 107
57 39 58
49 71 24
2 77 -1
28 49 61
30 20 70
41 9 77
69 22 167
21 78 ?
81 11 29
7 61 ?
15 83 221
55 42 -1
84 90 ?
58 56 ?
78 51 50
19 59 ?
26 83 5
44 29 35
94 12 ?
24 31 158
46 17 45
31 78 99
61 0 -1
53 89 178
31 75 157
75 59 84
66 74 -1
76 41 19
30 19 ?
80 21 ?
44 26 -1
51 53 ?
64 22 34
24 91 157
74 17 ?
97 80 17
41 22 84
21 40 31
19 89 48
88 86 -1
53 35 61
18 59 ?
60 27 -1
11 15 122
18 12 ?
19 89 95
84 90 237
97 15 103
1 92 5
71 2 54
69 42 217
49 83 -1
38 13 25
31 75 96
82 40 -1
95 18 80
92 14 43
46 50 70
65 25 190
84 16 ?
89 39 19
16 44 148
41 8 62
0 50 42
84 81 ?
59 25 320
94 22 149
55 50 302
76 46 ?
36 53 -1
79 22 ?
81 52 336
36 48 ?
60 28 -1
33 46 -1
4 70 16
20 86 37
21 65 166
3 51 ?
56 62 ?
17 25 130
36 54 116
3 52 46
60 48 ?
56 85 209
70 5 ?
14 57 116
57 2 164
59 11 85
15 79 230
20 64 148
63 51 313
3 34 66
22 24 31
98 39 ?
85 61 ?
57 24 ?
33 35 ?
75 18 23
81 29 186
69 74 ?
73 12 ?
28 31 7
95 61 219
51 84 179
18 54 111
22 68 70
68 6 314
11 68 -1
56 23 67
33 75 5
59 38 82
42 59 -1
95 30 37
39 19 264
28 67 183
74 41 28
53 90 ?
17 3 ?
78 0 ?
13 93 ?
34 1 ?
26 80 ?
41 97 148
56 11 253
48 45 -1
20 22 29
77 54 77
52 98 ?
98 87 103
49 52 16
10 64 -1
86 21 21
63 55 149
99 75 98
88 33 ?
41 63 ?
88 24 36
26 62 -1
65 57 46
62 35 25
33 89 209
40 74 296
45 93 ?
38 97 74
84 33 106
69 72 159
18 52 362
6 8 16
78 79 ?
19 26 ?
65 97 -1
18 27 42
67 68 276
94 4 60
71 91 -1
47 52 83
36 13 -1
50 72 ?
76 12 74
28 68 189
34 10 5
50 1 55
47 12 402
87 14 254
66 45 ?
49 48 ?
96 64 585
70 1 195
80 64 ?
11 56 6
41 74 7
2 65 92
84 90 11
9 75 ?
67 96 34
18 82 31
65 97 35
76 12 29
68 58 -1
43 41 55
