5 10 5 1

68.180.229.165 - - [18/Jan/2018:03:38:33 +0300 - 3.042] 200 "GET /spares/lifan_smily/216-f8215110b03-ruchka-potolka-lifan-smily/ HTTP/1.1" 15120 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)" "-"
109.63.155.200 - - [18/Jan/2018:03:38:33 +0300 - -] 200 "GET /js/form.js HTTP/1.1" 1940 "http://novokuzneck.kitzap.ru/spares/faw_vita/akkumulyator_6st_45_medalist_faw_vita/" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E)" "-"
109.63.155.200 - - [18/Jan/2018:03:38:33 +0300 - -] 200 "GET /js/jquery-1.7.2.min.js HTTP/1.1" 38998 "http://novokuzneck.kitzap.ru/spares/faw_vita/akkumulyator_6st_45_medalist_faw_vita/" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E)" "-"
109.63.155.200 - - [18/Jan/2018:03:38:33 +0300 - -] 404 "GET /spares/faw_vita/akkumulyator_6st_45_medalist_faw_vita/css/style_ie.css HTTP/1.1" 598 "http://novokuzneck.kitzap.ru/spares/faw_vita/akkumulyator_6st_45_medalist_faw_vita/" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E)" "-"
178.154.224.146 - - [18/Jan/2018:03:38:33 +0300 - 2.229] 200 "GET /spares/lifan/?show=50&PAGEN_2=397 HTTP/1.1" 155478 "-" "Mozilla/5.0 (compatible; YandexDirectDyn/1.0; +http://yandex.com/bots)" "-"
109.63.155.200 - - [18/Jan/2018:03:38:33 +0300 - -] 200 "GET /bitrix/cache/css/s1/brandmotors/kernel_main/kernel_main0.css?151549445350781 HTTP/1.1" 9423 "http://novokuzneck.kitzap.ru/spares/faw_vita/akkumulyator_6st_45_medalist_faw_vita/" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E)" "-"
109.63.155.200 - - [18/Jan/2018:03:38:33 +0300 - -] 200 "GET /bitrix/cache/css/s1/brandmotors/page_9e8ccc6e23b3953ca0f5d4e32ab742c3/page_9e8ccc6e23b3953ca0f5d4e32ab742c30.css?151548895042484 HTTP/1.1" 9380 "http://novokuzneck.kitzap.ru/spares/faw_vita/akkumulyator_6st_45_medalist_faw_vita/" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E)" "-"
109.63.155.200 - - [18/Jan/2018:03:38:34 +0300 - -] 200 "GET /bitrix/panel/main/popup.css?141936455522773 HTTP/1.1" 4995 "http://novokuzneck.kitzap.ru/spares/faw_vita/akkumulyator_6st_45_medalist_faw_vita/" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E)" "-"
109.63.155.200 - - [18/Jan/2018:03:38:34 +0300 - -] 200 "GET /bitrix/cache/css/s1/brandmotors/template_0bc785b3ef51c8f91271dabc00115fe0/template_0bc785b3ef51c8f91271dabc00115fe00.css?151548890840256 HTTP/1.1" 10805 "http://novokuzneck.kitzap.ru/spares/faw_vita/akkumulyator_6st_45_medalist_faw_vita/" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E)" "-"
46.229.168.69 - - [18/Jan/2018:03:38:34 +0300 - 0.003] 403 "GET /spares/great_wall_hover_h5/pylnik_sharnira_privoda_perednego_mosta_k_povorotnomu_kulaku_great_wall_hover_h5/ HTTP/1.1" 314 "-" "Mozilla/5.0 (compatible; SemrushBot/1.2~bl; +http://www.semrush.com/bot.html)" "-"
109.63.155.200 - - [18/Jan/2018:03:38:34 +0300 - -] 200 "GET /bitrix/cache/js/s1/brandmotors/page_c075389bcc92a259e677a034b1881411/page_c075389bcc92a259e677a034b1881411.js?15154889507857 HTTP/1.1" 2437 "http://novokuzneck.kitzap.ru/spares/faw_vita/akkumulyator_6st_45_medalist_faw_vita/" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E)" "-"
